# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.03.2023 по 31.05.2023, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.05.2023 15:00";"21.7";"748.3";"761.4";"-1.2";"30";"Ветер, дующий с востоко-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"3.5";"";"";"";"";"";"";
"30.05.2023 12:00";"19.8";"749.5";"762.7";"-0.9";"34";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"3.6";"";"";"";"";"";"";
"30.05.2023 09:00";"18.4";"750.4";"763.6";"-0.1";"39";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"9.9";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"4.1";"Осадков нет";"12";"Поверхность почвы влажная.";"12.0";"";"";
"30.05.2023 06:00";"11.9";"750.5";"764.1";"-0.2";"79";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"9.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"8.3";"Осадков нет";"12";"";"";"";"";
"30.05.2023 03:00";"11.8";"750.7";"764.2";"0.0";"72";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2000-2500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"6.9";"";"";"";"";"";"";
"30.05.2023 00:00";"11.3";"750.7";"764.2";"0.1";"69";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"5.8";"";"";"";"";"";"";
"29.05.2023 21:00";"15.9";"750.6";"763.9";"-0.1";"50";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"21.4";"";"";"";"";"";"20.0";"5.4";"Осадков нет";"12";"";"";"";"";
"29.05.2023 18:00";"20.8";"750.7";"763.8";"-0.3";"28";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"1.4";"Осадков нет";"12";"";"";"";"";
"29.05.2023 15:00";"20.9";"751.0";"764.2";"-0.9";"29";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"2.1";"";"";"";"";"";"";
"29.05.2023 12:00";"19.3";"751.9";"765.1";"0.0";"33";"Ветер, дующий с северо-северо-запада";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"2.6";"";"";"";"";"";"";
"29.05.2023 09:00";"17.1";"751.9";"765.2";"0.6";"44";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"8.0";"";"";"";"";"";"";"20.0";"4.6";"Осадков нет";"12";"Поверхность почвы влажная.";"8.0";"";"";
"29.05.2023 06:00";"11.1";"751.3";"764.8";"0.5";"71";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"8.0";"";"";"";"";"";"";"20.0";"5.9";"Осадков нет";"12";"";"";"";"";
"29.05.2023 03:00";"9.0";"750.8";"764.5";"0.4";"81";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"5.9";"";"";"";"";"";"";
"29.05.2023 00:00";"10.1";"750.4";"763.9";"0.6";"77";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.3";"";"";"";"";"";"";
"28.05.2023 21:00";"14.0";"749.8";"763.3";"0.6";"53";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"16.6";"";"";"";"";"";"20.0";"4.6";"4.0";"12";"";"";"";"";
"28.05.2023 18:00";"16.3";"749.2";"762.4";"-0.1";"48";"Ветер, дующий с северо-запада";"2";"";"";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"5.3";"4.0";"12";"";"";"";"";
"28.05.2023 15:00";"16.3";"749.3";"762.7";"-0.5";"49";"Ветер, дующий с северо-запада";"3";"";"";"90  или более, но не 100%";"Гроза, но без осадков, в срок наблюдения. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"5.4";"";"";"";"";"";"";
"28.05.2023 12:00";"11.5";"749.8";"763.3";"0.6";"85";"Ветер, дующий с западо-северо-запада";"2";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"9.1";"";"";"";"";"";"";
"28.05.2023 09:00";"10.7";"749.2";"762.8";"0.3";"74";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"9.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"20.0";"6.2";"Осадков нет";"12";"Поверхность почвы влажная.";"10.0";"";"";
"28.05.2023 06:00";"9.5";"748.9";"762.5";"0.2";"75";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"9.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"5.3";"Осадков нет";"12";"";"";"";"";
"28.05.2023 03:00";"10.7";"748.7";"762.3";"-0.4";"67";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"4.7";"";"";"";"";"";"";
"28.05.2023 00:00";"13.7";"749.1";"762.5";"0.2";"47";"Ветер, дующий с северо-запада";"3";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"2.5";"";"";"";"";"";"";
"27.05.2023 21:00";"17.0";"748.9";"762.2";"0.9";"38";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"21.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"2.5";"Осадков нет";"12";"";"";"";"";
"27.05.2023 18:00";"20.0";"748.0";"761.2";"-0.1";"31";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"2.4";"Осадков нет";"12";"";"";"";"";
"27.05.2023 15:00";"20.7";"748.1";"761.2";"-0.1";"35";"Ветер, дующий с западо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"4.7";"";"";"";"";"";"";
"27.05.2023 12:00";"19.5";"748.2";"761.3";"0.2";"40";"Ветер, дующий с северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"5.3";"";"";"";"";"";"";
"27.05.2023 09:00";"18.0";"748.0";"761.2";"0.7";"45";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"14.3";"";"";"";"";"";"";"20.0";"5.8";"Осадков нет";"12";"Поверхность почвы влажная.";"14.0";"";"";
"27.05.2023 06:00";"15.2";"747.3";"760.6";"0.5";"72";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"14.3";"";"";"";"";"";"";"20.0";"10.2";"Осадков нет";"12";"";"";"";"";
"27.05.2023 03:00";"16.2";"746.8";"760.0";"0.3";"76";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"11.9";"";"";"";"";"";"";
"27.05.2023 00:00";"15.3";"746.5";"759.8";"-0.3";"81";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"14.0";"12.1";"";"";"";"";"";"";
"26.05.2023 21:00";"18.3";"746.8";"760.0";"0.3";"63";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"25.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"11.2";"Следы осадков";"12";"";"";"";"";
"26.05.2023 18:00";"24.6";"746.5";"759.4";"-0.8";"38";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.3";"Следы осадков";"12";"";"";"";"";
"26.05.2023 15:00";"23.4";"747.3";"760.2";"-0.3";"45";"Ветер, дующий с востоко-юго-востока";"1";"";"";"60%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.8";"";"";"";"";"";"";
"26.05.2023 12:00";"23.7";"747.6";"760.6";"-0.1";"44";"Ветер, дующий с западо-северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.6";"";"";"";"";"";"";
"26.05.2023 09:00";"21.0";"747.7";"760.7";"0.2";"58";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"11.7";"";"";"";"";"";"";"20.0";"12.4";"Осадков нет";"12";"Поверхность почвы влажная.";"11.0";"";"";
"26.05.2023 06:00";"13.9";"747.5";"760.9";"0.4";"99";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"11.7";"";"";"";"";"";"";"7.0";"13.7";"Осадков нет";"12";"";"";"";"";
"26.05.2023 03:00";"12.5";"747.1";"760.6";"-0.3";"98";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"4.7";"12.2";"";"";"";"";"";"";
"26.05.2023 00:00";"13.7";"747.4";"760.8";"-0.1";"97";"Штиль, безветрие";"0";"";"";"40%.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"6.0";"13.3";"";"";"";"";"";"";
"25.05.2023 21:00";"16.0";"747.5";"760.7";"-0.1";"93";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"19.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"14.0";"14.9";"5.0";"12";"";"";"";"";
"25.05.2023 18:00";"18.4";"747.6";"760.7";"-0.5";"78";"Ветер, дующий с севера";"2";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"16.0";"14.4";"5.0";"12";"";"";"";"";
"25.05.2023 15:00";"17.8";"748.1";"761.3";"-0.5";"89";"Ветер, дующий с севера";"2";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"";"";"11.0";"15.9";"";"";"";"";"";"";
"25.05.2023 12:00";"19.2";"748.6";"761.7";"0.0";"79";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"18.0";"15.4";"";"";"";"";"";"";
"25.05.2023 09:00";"19.2";"748.6";"761.8";"-0.2";"76";"Ветер, дующий с севера";"1";"";"";"90  или более, но не 100%";" ";"";"";"12.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"18.0";"14.8";"Осадков нет";"12";"Поверхность почвы влажная.";"12.0";"";"";
"25.05.2023 06:00";"15.1";"748.8";"762.1";"-0.1";"97";"Штиль, безветрие";"0";"";"";"60%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"12.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"11.0";"14.7";"Осадков нет";"12";"";"";"";"";
"25.05.2023 03:00";"13.5";"748.9";"762.3";"-0.2";"97";"Штиль, безветрие";"0";"";"";"20–30%.";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"9.0";"13.0";"";"";"";"";"";"";
"25.05.2023 00:00";"15.2";"749.1";"762.4";"0.2";"91";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"1500-2000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.8";"";"";"";"";"";"";
"24.05.2023 21:00";"18.3";"748.9";"762.1";"0.6";"76";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"21.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.9";"Осадков нет";"12";"";"";"";"";
"24.05.2023 18:00";"21.2";"748.3";"761.4";"-0.2";"58";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.6";"Осадков нет";"12";"";"";"";"";
"24.05.2023 15:00";"21.0";"748.5";"761.5";"0.4";"60";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.0";"";"";"";"";"";"";
"24.05.2023 12:00";"21.0";"748.1";"761.2";"0.0";"62";"Ветер, дующий с востоко-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"13.3";"";"";"";"";"";"";
"24.05.2023 09:00";"18.9";"748.1";"761.2";"-0.3";"66";"Ветер, дующий с востоко-северо-востока";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"14.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.4";"Осадков нет";"12";"Поверхность почвы влажная.";"14.0";"";"";
"24.05.2023 06:00";"15.5";"748.4";"761.7";"-0.5";"80";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"14.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.0";"0.1";"12";"";"";"";"";
"24.05.2023 03:00";"15.5";"748.9";"762.2";"-0.3";"85";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.9";"";"";"";"";"";"";
